algorithm,n_clusters,init,linkage,inertia,silhouette,adjusted_rand_index,normalized_mutual_info,homogeneity,completeness,v_measure,calinski_harabasz
K-Means,2,k-means++,-,4773.72,0.5507,-0.0561,0.022,0.0165,0.0327,0.022,637.01
K-Means,2,random,-,4773.72,0.5507,-0.0561,0.022,0.0165,0.0327,0.022,637.01
K-Means,3,k-means++,-,3778.19,0.5669,-0.0729,0.0279,0.0241,0.033,0.0279,594.64
K-Means,3,random,-,3778.19,0.5669,-0.0729,0.0279,0.0241,0.033,0.0279,594.64
K-Means,4,k-means++,-,2822.08,0.3123,-0.028,0.0192,0.0269,0.015,0.0192,695.25
K-Means,4,random,-,2817.89,0.3124,-0.028,0.0183,0.0257,0.0142,0.0183,697.01
K-Means,5,k-means++,-,2337.48,0.3256,-0.0264,0.0133,0.0201,0.01,0.0133,704.73
K-Means,5,random,-,2498.79,0.3065,-0.0099,0.0318,0.0554,0.0223,0.0318,635.69
K-Means,6,k-means++,-,2026.83,0.3296,-0.0109,0.0246,0.0448,0.0169,0.0246,694.44
K-Means,6,random,-,2048.25,0.3063,-0.0091,0.0217,0.0384,0.0151,0.0217,684.13
Grupim aglomerativ,2,-,ward,,0.6425,-0.0289,0.0089,0.0058,0.0195,0.0089,599.78
Grupim aglomerativ,2,-,complete,,0.6517,-0.0318,0.0126,0.0081,0.0291,0.0126,585.12
Grupim aglomerativ,2,-,average,,0.8416,-0.0009,0.0007,0.0003,0.0334,0.0007,59.95
Grupim aglomerativ,3,-,ward,,0.2649,-0.0068,0.0061,0.0076,0.0051,0.0061,538.11
Grupim aglomerativ,3,-,complete,,0.6408,-0.0319,0.0127,0.0081,0.0287,0.0127,316.37
Grupim aglomerativ,3,-,average,,0.6994,-0.0134,0.0093,0.0052,0.0478,0.0093,141.16
Grupim aglomerativ,4,-,ward,,0.2835,-0.0212,0.0098,0.014,0.0075,0.0098,583.05
Grupim aglomerativ,4,-,complete,,0.647,-0.0423,0.019,0.0131,0.0344,0.019,359.08
Grupim aglomerativ,4,-,average,,0.6525,-0.0428,0.0208,0.0142,0.039,0.0208,349.24
Grupim aglomerativ,5,-,ward,,0.3043,-0.0236,0.0123,0.0195,0.0089,0.0123,564.7
Grupim aglomerativ,5,-,complete,,0.5688,-0.0431,0.0215,0.0153,0.0361,0.0215,285.3
Grupim aglomerativ,5,-,average,,0.613,-0.0429,0.0208,0.0143,0.0386,0.0208,263.85
